Headline,Links
NASA says Boeing Starliner Astronauts may fly home on SpaceX in 2025.,"['https://www.nytimes.com/2024/08/07/science/boeing-starliner-nasa-spacex.html', 'https://www.wsj.com/science/space-astronomy/boeing-and-nasa-tussle-over-plan-to-bring-starliner-astronauts-home-4d7c53c5', 'https://www.newscentermaine.com/video/tech/science/aerospace/nasa-says-boeing-starliner-astronauts-may-fly-home-on-spacex-in-2025/97-4be92182-6dfc-490e-9175-6eb910a0f164', 'https://www.cnn.com/2024/08/07/science/boeing-starliner-nasa-astronauts-return/index.html', 'https://www.france24.com/en/americas/20240808-astronauts-stuck-in-space-may-switch-boeing-spacex-ride-home-nasa-says-international-space-station-starliner', 'https://www.washingtonpost.com/business/2024/08/07/starliner-nasa-boeing-spacex/', 'https://www.chron.com/news/space/article/starliner-nasa-astronauts-19628278.php', 'https://www.reuters.com/science/nasa-says-starliner-astronauts-could-return-spacex-feb-2025-if-needed-2024-08-07/', 'https://www.houstonpress.com/news/boeing-starliner-astronauts-still-stuck-in-outer-space-18693398', 'https://ca.news.yahoo.com/nasa-boeing-starliner-astronauts-stuck-152912716.html', 'https://www.independent.co.uk/space/nasa-boeing-starliner-butch-wilmore-sunita-williams-b2593041.html', 'https://abcnews.go.com/Technology/nasa-boeings-starliner-astronauts-home-spacecraft/story?id', 'https://www.space.com/boeing-starliner-iss-astronaut-schedule-flux', 'https://www.washingtonexaminer.com/policy/space/3114906/stranded-astronauts-could-wait-next-year-come-home-nasa/', 'https://wenewsenglish.pk/boeing-starliner-astronauts-may-fly-home-on-spacex-in-2025-nasa/', 'https://www.forbes.com/sites/maryroeloffs/2024/08/07/starliner-astronauts-could-be-in-space-until-next-year/', 'https://www.theguardian.com/science/article/2024/aug/07/spacex-delay-international-space-station-boeing-nasa', 'https://www.upi.com/Science_News/2024/08/07/nasa-boeing-starliner-astronauts-spacex/9901723066341/', 'https://www.wionews.com/videos/boeing-starliner-astronauts-may-fly-home-with-spacex-in-2025-748424', 'https://www.livescience.com/space/space-exploration/stranded-starliner-delays-another-mission-to-iss-could-return-without-crew', 'https://news.sky.com/story/two-nasa-astronauts-could-be-stranded-in-space-until-2025-13193123', 'https://www.usatoday.com/story/news/nation/2024/08/07/boeing-starliner-astronaut-return-update/74707271007/', 'https://nypost.com/2024/08/07/us-news/boeing-starliner-astronauts-could-be-stranded-on-iss-until-february/', 'https://www.semafor.com/article/08/07/2024/boeing-starliner-spacecraft-might-not-return-astronauts-iss', 'https://www.bloomberg.com/news/articles/2024-08-07/nasa-taps-spacex-to-take-astronauts-home-if-boeing-craft-unfit', 'https://time.com/7008948/astronauts-in-space-nasa-backup-plan/', 'https://www.nytimes.com/2024/08/08/podcasts/harris-walz-vance-wisconsin-michigan-counterprotest-uk-riots.html', 'https://ca.news.yahoo.com/boeing-starliner-astronauts-space-over-045143357.html', 'https://www.livenowfox.com/news/nasa-astronauts-waiting-come-home-might-hitch-ride-spacex-crew', 'https://www.aol.com/nasa-says-starliner-astronauts-could-172349576.html', 'https://uk.news.yahoo.com/nasa-weighs-spacex-rescue-stranded-195655370.html', 'https://www.msn.com/en-us/money/markets/boeing-and-nasa-tussle-over-plan-to-bring-starliner-astronauts-home/ar-AA1oowVI', 'https://www.msn.com/en-ae/news/world/stuck-in-space-nasa-says-starliner-astronauts-could-return-on-spacex-in-feb-2025/ar-AA1opt2y?ocid', 'https://www.inkl.com/news/nasa-weighs-spacex-rescue-for-stranded-boeing-starliner-crew', 'https://www.breitbart.com/tech/2024/08/08/nasa-says-astronauts-stranded-in-space-by-boeing-may-fly-home-in-2025/', 'https://www.powerlineblog.com/archives/2024/08/the-solution-for-stranded-astronauts.php']"
Perseid meteor shower 2024 peaks this weekend.,"['https://www.space.com/perseid-meteor-shower-2024-peak', 'https://www.kqed.org/science/1993717/where-to-watch-perseids-meteor-shower-peak-bay-area-best-places-to-see', 'https://patch.com/new-york/new-york-city/perseid-meteor-shower-2024-peaks-weekend-how-watch-nyc', 'https://www.sacbee.com/news/california/article290833564.html', 'https://www.forbes.com/sites/ariannajohnson/2024/08/08/perseid-meteor-shower-why-astronomers-recommend-putting-your-phone-away-for-this-weekends-show/', 'https://www.wsmv.com/video/2024/08/08/perseid-meteor-shower-peaks/', 'https://www.king5.com/article/weather/weather-blog/2024-perseids-meteor-shower-western-washington/281-0cb6de67-c4a4-4582-8dee-c4c81402a994', 'https://www.wbko.com/video/2024/08/08/perseid-meteor-shower-peaks-sunday-night/', 'https://www.axios.com/local/san-diego/2024/08/08/how-to-watch-perseid-meteor-shower', 'https://www.npr.org/2024/08/08/g-s1-15805/perseid-meteor-shower-how-to-watch-perseids-peak', 'https://www.mprnews.org/story/2024/08/08/chilly-up-north-gradually-warmer-this-weekend', 'https://www.11alive.com/article/tech/science/perseid-meteor-shower-2024-when-to-watch/85-607eb6ff-c824-4204-aff6-1c34fb4b9d75', 'https://www.mlive.com/weather/2024/08/summers-greatest-meteor-shower-peaks-this-weekend.html', 'https://www.marca.com/en/lifestyle/us-news/2024/08/08/66b5042cca4741f6408b4578.html', 'https://www.space.com/watch-perseid-meteor-shower-2024-peak-free-livestream', 'https://www.foxweather.com/earth-space/perseid-meteor-shower-peak-august-2024', 'https://patch.com/florida/southtampa/perseid-meteor-shower-2024-peaks-weekend-how-watch-fl', 'https://www.wsmv.com/2024/08/08/perseid-meteor-shower-peaks-late-this-weekend/', 'https://www.forbes.com/sites/ariannajohnson/2024/08/08/northern-lights-forecast-where-to-see-aurora-borealis-ahead-of-perseid-meteor-shower-peak/', 'https://www.wtol.com/article/tech/science/perseid-meteor-shower-how-to-watch-where-to-see-local-news-headlines-astronomy-science/512-d84b62a1-68bc-4bf7-bb58-eb6db2eda87b', 'https://www.knau.org/knau-and-arizona-news/2024-08-08/perseid-meteor-shower-peaks-this-weekend', 'https://timesofindia.indiatimes.com/etimes/trending/perseid-meteor-shower-2024-spectacular-meteor-shower-to-peak-this-weekend-says-nasa-heres-how-to-watch-it/articleshow/112379401.cms', 'https://www.yahoo.com/news/perseids-best-meteor-shower-2024-150504653.html', 'https://www.palmbeachpost.com/story/news/2024/08/08/2024-perseid-meteor-shower-will-peak-aug-12-best-time-to-watch/74706078007/', 'https://www.aol.com/weather/perseids-best-meteor-shower-2024-150504192.html', 'https://phys.org/news/2024-08-perseids-fireballs-summer-brightest-meteor.html', 'https://wgrd.com/ixp/694/p/perseid-meteor-showers-2024/', 'https://pullmanradio.com/perseid-meteor-show-to-peak-sunday-night/', 'https://gizmodo.com/the-perseids-are-back-how-to-watch-one-of-the-best-meteor-showers-of-the-year-2000484433', 'https://www.forbes.com/sites/jamiecartereurope/2024/08/07/nasa-urges-public-to-leave-the-city-for-the-perseid-meteor-shower-this-weekend/', 'https://www.lonestarlive.com/life/2024/08/texas-state-parks-hosting-perseid-meteor-shower-events-to-give-visitors-front-row-seats-to-night-sky.html', 'https://spectrumlocalnews.com/tx/austin/weather/2024/08/07/perseid-meteor-shower-peaks-this-weekend', 'https://www.cntraveler.com/story/perseid-meteor-shower', 'https://www.bostonglobe.com/2024/08/08/science/light-pollution-is-making-it-harder-to-see-stars/', 'https://www.beaumontenterprise.com/news/article/perseid-meteor-peak-19625631.php', 'https://patch.com/michigan/across-mi/perseid-meteor-shower-2024-peaks-weekend-how-watch-mi', 'https://www.phillyvoice.com/perseid-meteor-shower-peak-2024-philly/', 'https://www.sciencealert.com/perseid-meteor-shower-2024-is-about-to-hit-its-peak-heres-how-to-watch', 'http://www.msn.com/en-us/news/technology/nasa-tells-americans-to-flee-cities-to-see-perseid-meteor-shower/ar-AA1opoQf?apiversion', 'https://www.sciencefocus.com/news/perseids-2024', 'https://www.bostonglobe.com/2024/08/07/metro/viewing-perseids-meteor-shower-this-weekend-new-england/', 'https://www.msn.com/en-us/news/technology/nasa-tells-americans-to-flee-cities-to-see-perseid-meteor-shower/ar-AA1opoQf', 'https://gvwire.com/2024/08/07/stargazers-prepare-for-peak-of-perseid-meteor-shower-this-weekend/', 'https://www.cbc.ca/news/science/2024-perseids-1.7282740', 'https://www.dailymail.co.uk/sciencetech/article-13719333/NASA-Perseid-meteor-shower-august.html', 'https://www.latestly.com/technology/science/perseid-meteor-shower-2024-date-and-time-when-will-perseid-meteor-shower-peak-where-and-how-to-watch-summers-best-shooting-stars-6173363.html', 'https://timesofindia.indiatimes.com/science/perseids-meteor-shower-peaks-this-weekend-best-viewing-tips-time-and-dates/articleshow/112345458.cms', 'https://www.inkl.com/news/best-tips-for-viewing-the-perseid-meteor-shower-in-2024', 'https://patch.com/illinois/across-il/100-meteors-hour-visible-over-il-skies-how-watch', 'https://www.toronto.com/news/best-meteor-shower-of-the-year-annual-perseid-meteor-shower-for-2024-will-peak-in/article_c11c6c6b-d977-51d5-872b-97aa6b65fd6f.html', 'https://www.inkl.com/news/astrophotographers-prepare-for-the-best-meteor-shower-of-the-year-according-to-nasa', 'https://www.latestly.com/quickly/technology/science/watch-summer-s-best-shooting-stars-know-date-and-peak-time-of-the-2024-perseid-meteor-shower-6173363.html', 'https://patch.com/rhode-island/newport/police-looking-jewelry-theft-suspect-new-jwu-program-pm-patch-ri', 'https://www.insauga.com/best-meteor-shower-of-the-year-peaks-this-month-in-ontario/', 'https://www.inkl.com/news/night-sky-for-tonight-visible-planets-stars-and-more-in-this-evening-s-sky', 'https://www.thecoastguard.ca/the-perseid-meteor-shower-2024-peaks-this-weekend-heres-how-to-spot-the-best-shooting-stars-of-the-summer/', 'https://aimweb.pl/nasa-is-urging-the-public-to-stay-out-of-town-for-the-perseid-meteor-shower-this-weekend/', 'https://headtopics.com/us/the-highly-anticipated-perseid-meteor-shower-is-about-to-57104115', 'https://headtopics.com/us/dazzling-display-perseid-meteor-shower-peak-this-weekend-57095534', 'https://tdpelmedia.com/nasa-urges-americans-to-escape-urban-light-pollution-and-head-to-darker-skies-for-the-spectacular-perseid-meteor-shower-peaking-this-weekend/', 'https://headtopics.com/ca/the-perseid-meteor-shower-peaks-this-weekend-and-this-is-57049419']"
Fossils suggest even smaller ‘hobbits’ roamed an Indonesian island.,"['https://abcnews.go.com/US/wireStory/fossils-suggest-smaller-hobbits-roamed-indonesian-island-700000-112609840', 'https://www.latimes.com/world-nation/story/2024-08-08/fossils-suggest-even-smaller-hobbits-roamed-an-indonesian-island-700-000-years-ago', 'https://www.nhregister.com/news/article/fossils-suggest-even-smaller-hobbits-roamed-19623092.php', 'https://www.santafenewmexican.com/ap/washington/fossils-suggest-even-smaller-hobbits-roamed-an-indonesian-island-700-000-years-ago/article_174e1e6c-76c8-5d71-8b00-aa9cbfa5a9d1.html', 'https://www.nbcnews.com/news/world/fossils-suggest-early-human-hobbits-ancestors-even-smaller-rcna165493', 'https://dayton247now.com/news/offbeat/gallery/early-humans-small-hobbits-live-earth-700000-years-ago-hobbit-fossils-roamed-indonesian-island-mata-menge-cave-homo-floresiensis', 'https://www.msn.com/en-gb/news/world/fossils-suggest-even-smaller-hobbits-roamed-an-indonesian-island-700000-years-ago/ar-AA1ol04R?ocid', 'https://www.ptinews.com/story/international/fossils-suggest-even-smaller-hobbits-roamed-an-indonesian-island-700-000-years-ago/1716840', 'https://www.inkl.com/news/smallest-human-species-flores-hobbits-were-even-smaller-than-thought-study-finds', 'https://evrimagaci.org/tpg/ancient-fossils-reveal-even-smaller-tiny-hobbits-roamed-indonesia-6946', 'https://headtopics.com/us/fossils-suggest-even-smaller-hobbits-roamed-an-indonesian-57127210']"
Astronaut captures gorgeous green aurora shining behind Russian spacecraft docked at ISS.,"['https://www.space.com/aurora-soyuz-spacecraft-iss-astronaut-photo', 'https://www.msn.com/en-gb/money/technology/astronaut-captures-gorgeous-green-aurora-shining-behind-russian-spacecraft-docked-at-iss-photo/ar-AA1osKD8', 'https://www.msn.com/en-gb/news/world/steve-job-s-widow-s-140m-superyacht-smashes-into-monster-vessel/ss-AA1os6iu', 'https://headtopics.com/us/notorious-manhattan-madam-who-ran-prostitution-ring-that-57108062']"
Model suggests spewing metal nanorods into Mars' atmosphere could warm the planet.,"['https://phys.org/news/2024-08-spewing-metal-nanorods-mars-atmosphere.html', 'https://phys.org/news/2024-08-image-upper-lake-powell-area.html', 'https://headtopics.com/us/the-smart-money-is-shifting-in-the-private-equity-world-57112259']"
Siberian gold miners accidentally find ancient woolly rhino mummy with horn and soft soft skin.,['https://www.livescience.com/animals/extinct-species/siberian-gold-miners-accidentally-find-ancient-woolly-rhino-mummy-with-horn-and-soft-tissues-still-intact']
A new nebula origin for the persistent radio emission of fast radio bursts.,"['https://www.nature.com/articles/s41586-024-07782-6', 'https://phys.org/news/2024-08-plasma-persistent-radio-emissions-fast.html', 'https://gizmodo.com/big-bubble-of-plasma-in-space-shoots-fast-radio-burst-toward-earth-2000484616', 'https://www.unlv.edu/news/release/study-plasma-bubbles-and-engine-cosmic-fast-radio-bursts', 'https://www.spacedaily.com/reports/Plasma_Bubble_Confirmed_as_Source_of_Persistent_Emission_in_Fast_Radio_Burst_FRB20201124A_999.html', 'https://public.nrao.edu/news/plasma-bubbles-and-the-engine-of-fast-radio-bursts/', 'https://dailygalaxy.com/2024/08/shocking-source-mysterious-radio-bursts/']"
Spacecraft snaps image of ancient Mars lake bigger than any on Earth.,['https://mashable.com/article/mars-ancient-lake-image-spacecraft']
SpaceX has plans for a busy August. SpaceX targets Aug. 26 for historic Polaris.,[]
Gaia spots possible moons around hundreds of asteroids. European Space Agency.,"['https://www.esa.int/Science_Exploration/Space_Science/Gaia/Gaia_spots_possible_moons_around_hundreds_of_asteroids', 'https://www.space.com/gaia-350-asteroids-hidden-moons', 'https://www.esa.int/ESA_Multimedia/Images/2024/08/Gaia_spots_possible_moons_around_hundreds_of_asteroids', 'https://www.siliconrepublic.com/innovation/gaia-binary-asteroids-moon-esa', 'https://www.digitaltrends.com/space/gaia-asteroid-binaries/', 'https://www.skyatnightmagazine.com/news/gaia-binary-asteroid-moons', 'https://www.indiatoday.in/science/story/new-moon-alert-european-probe-spots-350-asteroids-with-their-own-moons-2579049-2024-08-08']"
