Headline,Summary,Links
"Jenna Ellis, former Trump lawyer, will cooperate in Arizona election fraud case.","Jenna Ellis, a former Trump campaign attorney, has reached a cooperation agreement with Arizona prosecutors in the ""fake electors"" case. As part of the deal, the nine felony counts against her, including fraud, forgery, and conspiracy, will be dropped. Ellis has agreed to provide truthful information and testify ""completely and truthfully"" in any state or federal court proceedings.

Ellis was one of 18 defendants indicted in the case, which stems from efforts to dispute the results of the 2020 election in Arizona. She previously pleaded guilty to conspiring to overturn the election results in Georgia and has been cooperating with prosecutors. The agreement requires Ellis to provide documents and evidence as needed, and she will be available for interviews with the Attorney General's Office.","['https://www.nytimes.com/2024/08/05/us/jenna-ellis-trump-arizona-election-fraud.html', 'https://www.washingtonpost.com/politics/2024/08/05/jenna-ellis-arizona/', 'https://www.nbcnews.com/politics/donald-trump/former-trump-lawyer-jenna-ellis-cooperate-prosecutors-arizona-fake-ele-rcna165122', 'https://www.fox10phoenix.com/news/fake-electors-case-jenna-ellis-signs-cooperation-agreement-ag', 'https://www.upi.com/Top_News/US/2024/08/05/Jenna-Ellis-cooperate-prosecution-arizona-elector-case/9031722896097/', 'https://www.cnbc.com/2024/08/05/former-trump-campaign-lawyer-jenna-ellis-cooperating-with-prosecutors-in-arizona-fake-electors-case.html', 'https://www.cnn.com/2024/08/05/politics/jenna-ellis-arizona-election-subversion-trump/index.html', 'https://www.nbcdfw.com/news/politics/ex-trump-attorney-jenna-ellis-to-cooperate-in-arizona-fake-electors-case-charges-to-be-dropped/3612889/', 'https://nypost.com/2024/08/05/us-news/ex-trump-lawyer-jenna-ellis-will-cooperate-with-prosecutors-in-arizona-fake-electors-case/', 'https://www.12news.com/article/news/local/arizona/trump-lawyer-jenna-ellis-will-cooperate-arizona-investigation-of-fake-electors-ag-kris-mayes/75-0bed57fb-1dd5-4d0e-b2ae-527f38e6ab4e', 'https://www.theguardian.com/us-news/article/2024/aug/05/trump-lawyer-jenna-ellis-arizona-fake-electors-deal', 'https://www.independent.co.uk/news/world/americas/us-politics/trump-attorney-jenna-ellis-arizona-fake-electors-b2591631.html', 'https://ca.news.yahoo.com/ex-trump-attorney-jenna-ellis-200558991.html', 'https://www.washingtonexaminer.com/news/campaigns/state/3111473/jenna-ellis-agrees-cooperate-arizona-elector-case/', 'https://www.yahoo.com/news/former-trump-lawyer-breaks-ranks-204020351.html', 'https://newrepublic.com/post/184586/former-trump-lawyer-jenna-ellis-deal-fake-electors-case-arizona', 'https://www.dailymail.co.uk/news/article-13711891/Trumps-former-attorney-Jenna-Ellis-pleads-GUILTY-Arizona-fake-electors.html', 'https://san.com/media-miss/former-trump-lawyer-jenna-ellis-to-cooperate-with-prosecutors-in-arizona-fake-electors-case/', 'https://lawandcrime.com/high-profile/her-insights-are-invaluable-jenna-ellis-cooperation-in-trump-fake-electors-case-could-spell-bad-news-for-rudy-giuliani/', 'https://www.aol.com/jenna-ellis-flips-help-arizona-201616794.html', 'https://www.mediaite.com/crime/just-in-former-trump-attorney-agrees-to-cooperate-with-prosecution-in-fake-electors-case/', 'https://www.newsmax.com/politics/arizona-electors-attorney/2024/08/05/id/1175354/', 'https://dailycaller.com/2024/08/05/jenna-ellis-flips-agrees-cooperate-arizona-fake-electors-case/', 'https://hillreporter.com/jenna-ellis-makes-deal-to-cooperate-in-az-fake-electors-case-commentary', 'https://thebharatexpressnews.com/in-arizonas-fake-voter-case-jenna-ellis-agrees-to-cooperate/']"
"Tropical Storm Debby hits Florida with floods, threat of record rain in Georgia.","A 19-year-old man was killed on Monday afternoon when a large tree fell onto a porch at a home in Moultrie, Georgia. In a separate incident, the driver of a tractor trailer was found 40 feet below the surface of a canal in Tampa, Florida, after the vehicle broke off and dropped into the water.

Tropical Storm Debby, which made landfall as a Category 1 hurricane on Monday, continues to bring heavy rain and strong winds to the southeastern United States. The storm has left nearly 200,000 customers without power in Florida and Georgia, down from a peak of over 350,000 earlier in the day. Forecasters predict that the storm will bring torrential rains to coastal Georgia and South Carolina, with up to 30 inches of rainfall expected in some areas. The National Hurricane Center has issued a rare high-risk warning for flooding rainfall in the region, with the storm expected to affect South Carolina on Wednesday through Friday.","['https://apnews.com/article/hurricane-debby-flooding-storm-surge-high-winds-eb9fc50d578826784824f35ba943a6da', 'https://www.latimes.com/world-nation/story/2024-08-05/hurricane-debby-makes-landfall-in-florida-and-threatens-catastrophic-flooding', 'https://www.newscentermaine.com/video/weather/severe-weather/tropical-storm-debby-hits-florida-with-floods-threat-of-record-rain-in-georgia/97-c74574a8-2e3d-4e1f-bfd0-03a5fd60fd6b', 'https://www.wataugademocrat.com/ap/national/tropical-storm-debby-hits-florida-with-floods-threat-of-record-rain-in-georgia-and-the/article_7a0ad6a8-c127-538f-9751-f49ae4b37d22.html', 'https://www.times-news.com/news/tropical-storm-debby-hits-florida-with-floods-threat-of-record-rain-in-georgia-and-the/article_8f54eccb-b700-5fee-91d6-125003ee5170.html', 'https://www.cnn.com/weather/live-news/hurricane-debby-storm-08-05-24/index.html', 'https://fredericksburg.com/news/nation-world/tropical-storm-debby-hits-florida-with-floods-threat-of-record-rain-in-georgia-and-the/article_5d65c795-c510-57a3-ac46-ed25e0746214.html', 'https://www.bgdailynews.com/news/national/tropical-storm-debby-hits-florida-with-floods-threat-of-record-rain-in-georgia-and-the/article_17b5a408-fbc2-5f0a-8cdb-2b393dd133d8.html', 'https://journalnow.com/news/state/tropical-storm-debby-hits-florida-with-floods-threat-of-record-rain-in-georgia-and-the/article_98f6e29c-863d-565e-9d2f-4f87c64b6ce2.html', 'https://www.mynbc5.com/article/tracking-debby-august-5/61789701', 'https://www.mankatofreepress.com/news/state_national_news/the-latest-debby-blamed-for-at-least-4-deaths-in-florida-as-it-bears-down/article_e6b66103-d9b7-50f7-824c-415594db46c2.html', 'https://www.wmur.com/article/tropical-storm-debby-moves-through-gulf-toward-florida-hurricane-warnings/61784807', 'https://www.washingtonpost.com/weather/2024/08/05/hurricane-debby-florida-storms-flooding-rain/', 'https://www.yahoo.com/news/florida-storm-live-state-put-182357696.html', 'https://www.mankatofreepress.com/news/state_national_news/the-latest-debby-blamed-for-4-deaths-in-florida-as-it-bears-down-on-georgia/article_e6b66103-d9b7-50f7-824c-415594db46c2.html', 'https://www.aljazeera.com/news/2024/8/5/hurricane-debby-hits-florida-coast-evacuations-ordered', 'https://www.pbs.org/newshour/nation/hurricane-debby-hits-florida-as-category-1-storm-catastrophic-flooding-possible', 'https://thetandd.com/ap/national/tropical-storm-debby-could-prove-just-as-dangerous-as-a-major-hurricane/article_e4dde067-a70a-5f29-bad8-e2caad1724ca.html', 'https://yaleclimateconnections.org/2024/08/hurricane-debby-hits-florida-and-thats-just-the-beginning/', 'https://www.pilotonline.com/2024/08/05/heavy-rainfall-flooding-among-potential-hurricane-debby-impacts-in-hampton-roads/', 'https://www.wokv.com/weather/tracking-debby-storm-downgrades-tropical-storm-status/6SEFO277ZJGPNNBRCJKS5UEQXY/', 'https://www.irishexaminer.com/world/arid-41450881.html', 'https://www.cnn.com/2024/08/04/weather/florida-tropical-storm-debby-hurricane-sunday/index.html', 'https://www.washingtonpost.com/weather/2024/08/04/debby-hurricane-florida-southeast-flood-forecast/', 'https://nz.news.yahoo.com/florida-storm-live-state-put-182357599.html']"
Pro-Israel interests pour millions into defeating a second ‘Squad’ member.,"Outside groups have spent over $15 million in Missouri's 1st Congressional District, with more than 80 percent of that money going toward ads opposing Rep. Cori Bush and supporting her opponent. According to Open Secrets, this makes it one of the most expensive congressional races in the country. Bush has missed 187 votes between January 2023 and June 2024, making her fifth among lawmakers with the most missed votes. 

The American Israel Public Affairs Committee (AIPAC) has spent around $15 million on behalf of Bush's opponent in the primary cycle. AIPAC has also been involved in other high-profile congressional races, including one in which it helped defeat a member of the congressional group known as the Squad. Bush has been a vocal critic of Israel's response to the Gaza attack, and has been endorsed by some progressive groups. Her opponent, Bell, has been backed by AIPAC and has taken a different stance on the issue, saying that Bush is ""wrong"" in her call for a cease-fire between Israel and Hamas.","['https://www.washingtonpost.com/politics/2024/08/05/israel-house-election-cori-bush-aipac/', 'https://www.washingtonpost.com/elections/2024/08/05/2024-election-campaign-updates-harris-trump/', 'https://ca.news.yahoo.com/rep-jamaal-bowman-faces-tough-043936010.html', 'https://www.nytimes.com/2024/08/05/us/politics/missouri-cori-bush-bell-aipac-israel-democrats.html', 'https://www.washingtonpost.com/politics/2024/08/05/donalds-trump-harris-race/', 'https://ca.news.yahoo.com/pro-israel-super-pac-helped-172601663.html', 'https://www.washingtonpost.com/elections/2024/08/05/harris-vice-president-visit-map/', 'https://www.washingtonpost.com/politics/2024/08/05/republican-trump-get-out-the-vote-turning-point/', 'https://www.washingtonpost.com/politics/2024/08/05/trump-ye-rapper-adin-ross-interview/', 'https://www.washingtonpost.com/politics/2024/08/05/harris-democratic-presidential-nomination/f4734df8-5349-11ef-9a60-5b6e8b4da7c0_story.html', 'https://www.washingtonpost.com/politics/2024/08/05/presidential-race-shifts-modestly-so-far-toward-harris/', 'https://www.washingtonpost.com/politics/2024/08/05/why-st-louis-voters-might-ditch-cori-bush/', 'https://www.washingtonpost.com/politics/2024/08/04/harris-trump-electoral-map-votes/', 'https://www.washingtonpost.com/politics/2024/08/03/trump-putin-prisoner-swap-gershkovich/']"
"Bishop Richard Henning named new Archbishop of Boston, replacing Cardinal Sean O'Malley.","

Pope Francis has accepted the resignation of Cardinal Seán O'Malley as Archbishop of Boston, a position he has held for over 20 years. O'Malley, 80, is five years beyond the normal retirement age for bishops. He will be succeeded by Bishop Richard G. Henning, 59, who has been leading the Diocese of Providence in Rhode Island since May 2023. Henning will be formally installed as Archbishop of Boston on October 31 at the Cathedral of the Holy Cross.

The Archdiocese of Boston is the fourth largest in the US, serving over 1.8 million Catholics with 250 parishes, 115 Catholic schools, 900 priests, and a budget of over $350 million. Henning has expressed his commitment to listening to the concerns of lapsed Catholics who lost faith in the Church due to the sex abuse scandal. O'Malley, who was a key ally of Pope Francis and leader of the Vatican's office on sexual abuse, is expected to stay on at the Pontifical Commission for the Protection of Minors at the Pope's request.","['https://www.cbsnews.com/boston/news/archbishop-of-boston-cardinal-sean-omalley-bishop-richard-henning/', 'https://abcnews.go.com/International/wireStory/pope-francis-close-ally-cardinal-sean-malley-retires-112571719', 'https://www.wcvb.com/article/cardinal-sean-omalley-retires-bishop-henning-appointed-archdiocese-boston/61789606', 'https://www.nbcboston.com/news/local/pope-francis-names-richard-henningnew-archbishop-of-boston/3449844/', 'https://www.nytimes.com/2024/08/05/us/pope-francis-boston-archdiocese-archbishop-henning.html', 'https://www.providencejournal.com/story/news/local/2024/08/05/bishop-henning-of-diocese-of-providence-named-archbishop-of-boston/74670200007/', 'https://www.pillarcatholic.com/p/the-long-road-to-replacing-cardinal', 'https://www.bostonherald.com/2024/08/05/archdiocese-of-boston-announces-bishop-richard-henning-as-new-leader/', 'https://cruxnow.com/church-in-the-americas/2024/08/omalley-steps-down-in-boston-henning-of-providence-to-take-over/', 'https://wbznewsradio.iheart.com/content/henning-replacing-omalley-as-archbishop-of-boston/', 'https://patch.com/massachusetts/boston/pope-francis-names-bishop-richard-henning-new-archbishop-boston-replacing', 'https://www.newscentermaine.com/video/news/regional/new-england/cardinal-sean-omalley-80-retires-as-archbishop-of-boston/97-e6f49af6-d066-4531-9536-a66caf1b4d86', 'https://catholicvote.org/newly-appointed-boston-archbishop-looks-ahead-at-new-role/', 'https://www.newspressnow.com/news/national_news/pope-francis-main-adviser-on-clergy-abuse-cardinal-se-n-omalley-retires-as-archbishop-of/article_02fa4dd1-8335-5056-9b56-90a7f2eeeaab.html', 'https://www.bostonglobe.com/2024/08/04/metro/archbishop-boston-omalley-henning/', 'https://www.yahoo.com/news/pope-francis-names-archbishop-boston-103213098.html', 'https://www.msn.com/en-us/news/us/pope-francis-main-adviser-on-clergy-abuse-cardinal-se%C3%A1n-o-malley-retires-as-archbishop-of-boston/ar-AA1ofRdA', 'https://www.masslive.com/news/2024/08/boston-archdiocese-leader-cardinal-sean-omalley-retiring-vatican-announces.html', 'https://www.boston25news.com/news/local/pope-francis-names-new-archbishop-boston-replacing-cardinal-sean-omalley/2CE2LWKIMFFU7GNVMQLSEDCRC4/', 'https://www.wcvb.com/article/archbishop-sean-omalley-will-retire-sources-tell-wcvb/61785864', 'https://www.nbcboston.com/news/local/providence-bishop-to-be-named-successor-to-bostons-cardinal-omalley/3449453/', 'https://www.irishstar.com/news/boston-news/pope-francis-name-new-archbishop-33398667', 'https://www.bostonglobe.com/2024/08/05/metro/new-archbishop-boston-henning/', 'https://poststar.com/news/state-and-regional/pope-francis-main-adviser-on-clergy-abuse-cardinal-se-n-omalley-retires-as-archbishop-of/article_eee10edc-0829-5b7e-a72f-3ee5db12db42.html', 'https://www.boston.com/news/local-news/2024/08/04/boston-omalley-replaced-by-providence-bishop/']"
"Rockets fired at Iraq's Ain al-Asad air base, which houses US forces.","Several US personnel were injured in a suspected rocket attack at the Ain al-Asad air base in western Iraq on Monday. At least two Katyusha rockets were fired towards the base, which houses US-led forces. The incident comes as tensions in the Middle East escalate amid the Israel-Hamas conflict.

The attack occurred amid rising concerns of an imminent attack by Iran and its allies on Israel in retaliation for the killing of top Hamas and Hezbollah figures in recent strikes. US defense officials have confirmed the rocket attack, which injured several personnel. The incident has heightened tensions in the region, with Iran and its proxy groups threatening to seek revenge for the deaths of their allies and leaders.","['https://www.deccanherald.com/world/rockets-fired-at-iraqs-ain-al-asad-airbase-housing-us-forces-security-sources-3138261', 'https://www.jpost.com/breaking-news/article-813422', 'https://freebeacon.com/latest-news/rockets-fired-at-iraqs-ain-al-asad-airbase-housing-us-forces-security-sources-say/', 'https://nypost.com/2024/08/05/world-news/us-personnel-injured-in-rocket-attack-against-iraqi-airbase-report/', 'https://www.foxnews.com/world/several-u-s-personnel-injured-suspected-rocket-attack-al-asad-air-base-officials', 'https://www.republicworld.com/world-news/rockets-fired-at-iraq-s-ain-al-asad-air-base-housing-us-forces-several-injured', 'https://www.oann.com/newsroom/report-multiple-injured-after-rockets-were-fired-at-americas-ain-al-asad-base-in-iraq-housing-u-s-forces/', 'https://www.israelnationalnews.com/news/394165', 'https://www.foxnews.com/world/iraqi-air-base-housing-u-s-troops-attacked-rockets-escalating-tensions-middle-east-report', 'https://en.irna.ir/news/85559690/US-reports-casualties-in-attacks-on-its-Iraqi-air-base', 'https://www.rudaw.net/english/middleeast/iraq/050820241', 'https://www.dailymail.co.uk/news/article-13711677/Ain-al-Asad-base-Iraq-hit-missiles-Middle-East-crisis.html', 'https://www.themirror.com/news/world-news/breaking-multiple-missiles-fired-toward-630851', 'https://www.thesun.co.uk/news/29705976/us-base-ain-al-asad-iraq-hit-missiles/', 'https://www.thesun.ie/news/13556464/us-base-ain-al-asad-iraq-hit-missiles/', 'https://legalinsurrection.com/2024/08/several-injured-in-rocket-attack-on-iraq-base-housing-u-s-personnel/', 'https://townhall.com/tipsheet/rebeccadowns/2024/08/05/world-on-fire-iran-attacks-us-base-in-iraq-n2643006']"
RFK Jr. says he left a dead bear in Central Park as a joke.,"Independent presidential candidate Robert F. Kennedy Jr. revealed in a social media video on Sunday that he had left a dead bear cub in Central Park in 2014. According to Kennedy, he was driving to meet friends in upstate New York for a falconing trip when he witnessed a motorist strike the bear with her vehicle. He pulled over, retrieved the animal, and loaded it into his vehicle. Kennedy then came up with a plan to make the bear's death appear to be an accident involving a cyclist, and left the carcass in Central Park next to an old bicycle.

The incident was investigated by a state agency, but the statute of limitations for the offense has since expired. Kennedy shared the story in an effort to get ahead of a New Yorker article that he expected to be damaging. The article, which was published on Monday, includes a photo of Kennedy with his fingers in the bear's bloodied mouth. Kennedy acknowledged that he did not expect the media attention the stunt would attract, and the incident has been criticized by some as an example of poor judgment.","['https://apnews.com/article/robert-kennedy-rfk-bear-cub-central-park-f7e6cba9aa19dc2066a8d9c543974a97', 'https://www.washingtonpost.com/elections/2024/08/05/rfk-jr-dead-bear-central-park-new-yorker/', 'https://www.nytimes.com/2024/08/04/us/politics/robert-f-kennedy-jr-bear-central-park.html', 'https://www.theguardian.com/us-news/article/2024/aug/05/rfk-jr-kennedy-bear-story-central-park-new-york', 'https://www.bbc.com/news/articles/c2j3353vvdvo', 'https://www.cbsnews.com/news/rfk-jr-admits-dead-bear-cub-old-bicycle-central-park-10-years-ago/', 'https://www.cnn.com/2024/08/05/politics/rfk-jr-new-yorker-bear-cub/index.html', 'https://www.npr.org/2024/08/05/nx-s1-5063939/rfk-jr-central-park-bear-bicycle', 'https://www.nbcnews.com/politics/2024-election/robert-f-kennedy-jr-posts-video-saying-put-young-dead-bear-central-par-rcna165095', 'https://www.independent.co.uk/news/world/americas/us-politics/rfk-jr-dead-bear-cub-central-park-b2591254.html', 'https://www.bostonherald.com/2024/08/05/robert-f-kennedy-jr-says-he-left-a-dead-bear-in-central-park-as-a-prank/', 'https://www.scrippsnews.com/us-news/rfk-jr-says-he-dumped-a-dead-bear-in-new-yorks-central-park-a-decade-ago', 'https://www.aol.com/rfk-jr-could-faced-fine-233427930.html', 'https://www.lohud.com/story/news/2024/08/05/rfk-jr-dead-bear-central-park-ny/74671311007/', 'https://abcnews.go.com/US/wireStory/robert-kennedy-jr-left-dead-bear-central-park-112566475', 'https://www.washingtonpost.com/video/politics/rfk-jr-says-he-dumped-dead-bear-in-central-park/2024/08/05/ba801f7f-327c-4ccf-b0c5-0aedeb91a8b6_video.html', 'https://deadline.com/2024/08/robert-kennedy-jr-bear-central-park-1236031258/', 'https://nymag.com/intelligencer/article/rfk-jr-admits-planting-dead-bear-in-central-park.html', 'https://www.nytimes.com/2024/08/05/nyregion/rfk-jr-bear-dumping-ny-ballot.html', 'https://www.independent.co.uk/arts-entertainment/tv/news/robert-kennedy-rfk-dead-bear-roseanne-barr-b2591695.html', 'https://www.hollywoodreporter.com/news/general-news/robert-f-kennedy-jr-dead-bear-central-park-video-roseanne-barr-1235965936/', 'https://www.unionleader.com/news/back_page/rfk-jr-says-he-once-dumped-a-dead-bear-in-central-park/article_64cdf6a6-5355-11ef-bdec-47bfb8a251ff.html', 'https://www.vanityfair.com/news/story/rfk-jr-says-he-staged-bear-cub-murder-scene-in-central-park', 'https://www.cnn.com/2024/08/04/politics/rfk-jr-bear-central-park/index.html', 'https://forward.com/culture/640764/rfk-jr-bear-central-park-larry-david/']"
13-year-old boy killed when a tree falls on home during Hurricane Debby.,"Hurricane Debby made landfall Monday at 7 a.m. near Steinhatchee, Florida, with maximum sustained winds of 80 mph. The storm's powerful winds have already caused widespread power outages, with over 250,000 homes and businesses across northern Florida without electricity. Forecasters anticipate the storm's winds to spawn tornadoes, while storm surges could reach up to 10 feet in some areas.

A 13-year-old boy was killed Monday morning when a tree fell on his family's mobile home in Levy County, Florida. Three other people have died in car accidents related to the storm. Nearly 300,000 customers were without power in Florida and Georgia on Monday. The storm has also caused flight disruptions, with over 1,700 flights canceled and 5,800 delayed.","['https://www.wcjb.com/2024/08/05/13-year-old-boy-killed-when-tree-falls-mobile-home-due-hurricane-debby/', 'https://www.wesh.com/article/hurricane-debby-13-year-old-killed-tree-levy-county/61792582', 'https://www.usatoday.com/story/news/nation/2024/08/05/hurricane-debby-death/74672910007/', 'https://www.wbrc.com/2024/08/05/13-year-old-boy-killed-when-tree-falls-mobile-home-during-hurricane-debby/', 'https://www.wpbf.com/article/florida-teen-killed-after-tree-falls-on-home-during-hurricane-debby/61792729', 'https://www.wjhg.com/2024/08/05/13-year-old-boy-killed-when-tree-falls-mobile-home-due-hurricane-debby/', 'https://www.clickorlando.com/news/local/2024/08/05/florida-boy-killed-when-tree-falls-on-home-during-hurricane-debby/', 'https://wsvn.com/news/local/florida/13-year-old-boy-killed-after-tree-falls-on-mobile-home-in-levy-county-during-hurricane-debby/', 'https://www.wftv.com/news/local/sheriff-13-year-old-dies-after-tree-falls-into-home-florida/LFR26LVYJBBPFOGZYZ5K625WV4/', 'https://nypost.com/2024/08/05/us-news/florida-boy-13-crushed-to-death-in-hurricane-debby-after-tree-falls-on-family-home/', 'https://www.11alive.com/article/weather/tropical-storm-debby-deaths/85-00f84d58-3ba0-4642-bed9-c9403f6f3d48', 'https://www.news4jax.com/news/florida/2024/08/05/13-year-old-boy-dies-when-tree-crushes-mobile-home-in-levy-county-during-debby/', 'https://www.abcactionnews.com/news/state/tropical-storm-debby-13-year-old-boy-killed-in-levy-county-after-tree-falls-on-home', 'https://www.fox35orlando.com/news/13-year-old-crushed-death-tree-during-hurricane-debby-deputies-say', 'https://www.wlox.com/video/2024/08/05/13-year-old-boy-killed-when-tree-falls-mobile-home-due-hurricane-debby/', 'https://www.firstcoastnews.com/article/weather/hurricane/13-year-old-florida-boy-killed-by-tree-knocked-down-during-hurricane-debby/77-657ff326-0170-4fed-b133-7cee111d6f99', 'https://www.nbcnews.com/news/weather/live-blog/hurricane-debby-live-updates-landfall-florida-big-bend-rcna165111', 'https://www.wqcs.org/wqcs-news/2024-08-05/hurricane-debby-13-year-old-boy-killed-in-levy-county-after-tree-falls-on-mobile-home-and-crushed-him', 'https://www.nydailynews.com/2024/08/05/hurricane-debby-death-boy-killed-tree-falls-on-home/', 'https://thenationaldesk.com/news/americas-news-now/13-year-old-killed-after-tree-falls-into-mobile-home-during-hurricane-debby-levy-county-sheriffs-office-florida-department-of-public-safety-clean-up-damage-hazards-flooding-storm-surge', 'https://www.jacksonville.com/story/news/2024/08/05/tropical-storm-debby-death-toll-florida/74676291007/', 'https://www.usatoday.com/story/news/nation/2024/08/05/hurricane-debby-live-updates/74666168007/', 'https://www.mainstreetdailynews.com/news/roads-tree-3-dead-hurricane-debby', 'https://abcnews.go.com/US/live-updates/hurricane-debby-path-tracker/?id', 'https://www.tallahassee.com/story/news/hurricane/2024/08/05/hurricane-debby-live-updates-tracking-florida-surge-rain-wind-impacts-tallahassee-taylor-county/74669539007/']"
Supreme Court rejects Missouri's long-shot bid to block Trump's gag order.,"

The US Supreme Court on Monday declined to intervene in a lawsuit brought by Missouri, which sought to block legal proceedings in former President Donald Trump's hush money case in New York. The court rejected Missouri's bid to sue the state of New York, meaning the justices will not lift the gag order or delay sentencing in the case. New York Attorney General Letitia James had argued that there was no basis for the Supreme Court to get involved, stating that Missouri was ""seeking to further the individual interests of former President Trump"".

The justices rejected Missouri's long-shot bid, although Justices Clarence Thomas and Samuel Alito indicated that they would have allowed the state to file its complaint against New York. Missouri had argued that the rights of its voters to hear from presidential candidates were being violated by the New York criminal proceeding. The ruling ensures that Trump's sentencing will proceed as scheduled, with a new date set for September after being postponed from its original July 11 date.","['https://www.nbcnews.com/politics/supreme-court/supreme-court-rejects-missouris-long-shot-bid-block-trumps-gag-order-h-rcna163629', 'https://www.scotusblog.com/2024/08/supreme-court-rejects-missouris-request-to-block-trumps-new-york-gag-order-sentencing/', 'https://www.npr.org/2024/08/05/nx-s1-5064424/supreme-court-trump', 'https://www.msnbc.com/deadline-white-house/deadline-legal-blog/missouri-trump-gag-order-supreme-court-rcna165238', 'https://www.nbcnews.com/politics/2024-presidential-election', 'https://www.msn.com/en-gb/news/us/supreme-court-shuts-down-missouri-s-long-shot-push-to-lift-trump-s-gag-order-in-hush-money-case/ar-AA1ohzuy?ocid', 'https://www.msn.com/en-ca/news/world/supreme-court-shuts-down-missouri-s-long-shot-push-to-lift-trump-s-gag-order-in-hush-money-case/ar-AA1ohBvy', 'https://emeatribune.com/families-whose-loved-ones-were-left-rotting-in-funeral-home-owed-950-million-judge-rules/', 'https://emeatribune.com/oil-prices-rise-over-1-on-mounting-concerns-over-middle-east-supply/']"
"Virginia man, Frank Carillo, threatened to kill Kamala Harris, authorities say.","A 66-year-old man from Winchester, Virginia, has been charged with making threats against Vice President Kamala Harris and other federal officials. Frank Lucio Carillo allegedly posted 19 violent threats about Harris on a social media site, including threats to shoot, stab, and burn her alive. He also targeted President Joe Biden and FBI Director Christopher Wray, according to the complaint.

A search of Carillo's home turned up two guns, including a handgun and an RF-15 rifle, as well as thousands of rounds of ammunition. He is charged with knowingly and willfully making a threat to take the life of and to inflict bodily harm upon the Vice President of the United States. If convicted, Carillo faces up to five years in prison. A court hearing has been scheduled for Thursday to determine whether he will remain in detention while awaiting a resolution in his case.","['https://www.nytimes.com/2024/08/05/us/politics/virginia-man-charged-harris-threat.html', 'https://www.nbcnews.com/politics/politics-news/virginia-man-charged-threatening-kill-kamala-harris-rcna165280', 'https://www.usatoday.com/story/news/politics/elections/2024/08/05/feds-charge-man-threatening-kamala-harris/74674613007/', 'https://www.fox5dc.com/news/virginia-man-frank-carillo-threatened-kill-kamala-harris-fbi', 'https://www.cnn.com/2024/08/05/politics/death-threats-kamala-harris-virginia-man-arrested/index.html', 'https://www.aol.com/news/virginia-man-charged-threatening-kill-223233360.html', 'https://www.wusa9.com/article/news/crime/virginia-man-charged-with-threatening-to-kill-vp-kamala-harris-frank-lucio-carillo-stephen-richer-joe-biden-gettr/65-1244a2e7-426c-45f0-81ea-4c239e4d57b5', 'https://gvwire.com/2024/08/05/virginia-man-charged-death-threats-kamala-harris-august-2024/', 'https://lawandcrime.com/crime/i-will-personally-pluck-out-her-eyes-man-who-threatened-to-light-kamala-harris-on-fire-is-baffled-feds-were-at-his-door-over-a-comment-complaint-alleges/']"
Louisiana governor tells parents against the Ten Commandments in classrooms: 'Tell your child not to do so.'',"A coalition of parents from various faith backgrounds, including Jewish, Christian, Unitarian Universalist, and nonreligious, have filed a lawsuit against the state of Louisiana over a new law requiring the display of the Ten Commandments in all public school classrooms. The plaintiffs argue that the legislation infringes upon their First Amendment right to raise their children according to their own religious doctrine. The law, which goes into effect January 1, 2025, mandates that all public schools and colleges display the Ten Commandments.

Louisiana is the only state with such a requirement, and the ACLU has joined the lawsuit, arguing that the law violates the establishment clause of the US Constitution. The state's attorney general, Liz Murrill, plans to file a brief to dismiss the case, citing that no one has been harmed since the law is not yet in effect. The state intends to rely on outside donations to fund the display of the Ten Commandments, although the source of these donations has not been specified. Questions remain about how the requirement will be enforced and what will happen if there are insufficient donations to fund the mandate.","['https://www.nbcnews.com/news/us-news/louisiana-governor-tells-parents-ten-commandments-classrooms-tell-chil-rcna165147', 'https://www.wwltv.com/article/news/local/dont-look-at-them-gov-jeff-landry-on-people-who-are-against-10-commandments-in-classrooms/289-679dfb9c-7711-4064-84b2-88ecb1076aa5', 'https://www.msn.com/en-us/news/politics/louisiana-governor-tells-parents-against-ten-commandments-in-classrooms-tell-your-child-not-to-look/ar-AA1oh33J', 'https://ca.news.yahoo.com/ten-commandments-wont-louisiana-classrooms-184458612.html', 'https://www.tampafp.com/louisiana-gov-jeff-landry-defends-new-law-hanging-ten-commandments-in-classroom/', 'https://abcnews.go.com/US/wireStory/louisiana-ag-asks-court-dismiss-lawsuit-new-ten-112589299', 'https://www.wwno.org/education/2024-08-05/louisiana-ag-requests-dismissal-of-lawsuit-challenging-ten-commandments-in-schools', 'https://www.cnn.com/2024/08/05/us/louisiana-ten-commandments-schools/index.html', 'https://www.aol.com/louisiana-ag-asks-court-dismiss-191650150.html']"
